Time,Open,High,Low,Last,Change,%Chg,Volume
01/05/2022,1.35252,1.35981,1.35217,1.35508,0.00257,+0.19%,174809
01/06/2022,1.35504,1.35582,1.34901,1.35306,-0.00202,-0.15%,194478
01/07/2022,1.35301,1.35968,1.35273,1.35838,0.00532,+0.39%,176571
01/10/2022,1.35847,1.36031,1.35322,1.3573,-0.00108,-0.08%,172225
01/11/2022,1.35729,1.3636,1.35615,1.36335,0.00605,+0.45%,183402
01/12/2022,1.36336,1.37129,1.3621,1.3696,0.00625,+0.46%,172749
01/13/2022,1.36957,1.37484,1.36948,1.37023,0.00063,+0.05%,186223
01/14/2022,1.3702,1.37424,1.36532,1.36738,-0.00285,-0.21%,209727
01/17/2022,1.36738,1.36894,1.3637,1.36434,-0.00304,-0.22%,156542
01/18/2022,1.36427,1.36607,1.35731,1.35912,-0.00522,-0.38%,233161
01/19/2022,1.35912,1.36481,1.35874,1.36104,0.00192,+0.14%,210264
01/20/2022,1.36104,1.3661,1.35865,1.3597,-0.00134,-0.10%,206653
01/21/2022,1.3597,1.36009,1.35457,1.3551,-0.0046,-0.34%,230000
01/24/2022,1.35516,1.35645,1.34402,1.34832,-0.00678,-0.50%,229727
01/25/2022,1.34827,1.35183,1.34361,1.34858,0.00026,+0.02%,214295
01/26/2022,1.34866,1.35244,1.34441,1.34573,-0.00285,-0.21%,214368
01/27/2022,1.34564,1.34665,1.33581,1.33803,-0.0077,-0.57%,251682
01/28/2022,1.33801,1.3432,1.33649,1.33794,-9.0E-5,-0.01%,226062
01/31/2022,1.33972,1.34598,1.3386,1.34397,0.00603,+0.45%,196414
02/01/2022,1.34402,1.35276,1.34299,1.35197,0.008,+0.60%,194576
02/02/2022,1.3519,1.35866,1.35141,1.35711,0.00514,+0.38%,183938
02/03/2022,1.35714,1.36272,1.35378,1.35927,0.00216,+0.16%,231612
02/04/2022,1.35922,1.36138,1.35053,1.3511,-0.00817,-0.60%,239710
02/07/2022,1.35514,1.35514,1.34903,1.3535,0.0024,+0.18%,194301
02/08/2022,1.3535,1.35637,1.35076,1.3542,0.0007,+0.05%,188351
02/09/2022,1.35422,1.35881,1.35264,1.35328,-0.00092,-0.07%,178831
02/10/2022,1.35328,1.3643,1.35233,1.35568,0.0024,+0.18%,259711
02/11/2022,1.35568,1.36089,1.34986,1.35289,-0.00279,-0.21%,305300
02/14/2022,1.35509,1.35714,1.34947,1.35193,-0.00096,-0.07%,268288
02/15/2022,1.35197,1.35663,1.34864,1.35342,0.00149,+0.11%,238556
02/16/2022,1.35346,1.36006,1.3528,1.35809,0.00467,+0.35%,218929
02/17/2022,1.35804,1.36372,1.35549,1.36115,0.00306,+0.23%,269600
02/18/2022,1.36117,1.3642,1.3573,1.35856,-0.00259,-0.19%,236609
02/21/2022,1.35938,1.3638,1.35833,1.35978,0.00122,+0.09%,198437
02/22/2022,1.3598,1.36042,1.35385,1.35835,-0.00143,-0.11%,265981
02/23/2022,1.35837,1.362,1.35354,1.35432,-0.00403,-0.30%,220870
