"Date","Price","Open","High","Low","Vol.","Change %"
"03/03/2023","1.2040","1.1943","1.2049","1.1939","109.85K","0.83%"
"03/02/2023","1.1941","1.2031","1.2038","1.1924","120.98K","-0.75%"
"03/01/2023","1.2031","1.2021","1.2090","1.1964","121.11K","0.09%"
"02/28/2023","1.2020","1.2065","1.2145","1.2018","138.68K","-0.35%"
"02/27/2023","1.2062","1.1957","1.2067","1.1922","131.51K","0.99%"
"02/24/2023","1.1944","1.2012","1.2042","1.1928","111.06K","-0.57%"
"02/23/2023","1.2013","1.2055","1.2076","1.1991","100.59K","-0.26%"
"02/22/2023","1.2044","1.2115","1.2136","1.2034","122.15K","-0.59%"
"02/21/2023","1.2115","1.2040","1.2148","1.1985","129.93K","0.64%"
"02/20/2023","1.2038","1.2050","1.2059","1.2014","83.63K","0.02%"
"02/17/2023","1.2035","1.1998","1.2053","1.1914","161.98K","0.35%"
"02/16/2023","1.1993","1.2028","1.2076","1.1964","132.10K","-0.27%"
"02/15/2023","1.2026","1.2172","1.2183","1.1990","108.95K","-1.18%"
"02/14/2023","1.2170","1.2137","1.2270","1.2117","119.81K","0.29%"
"02/13/2023","1.2135","1.2070","1.2153","1.2030","114.65K","0.64%"
"02/10/2023","1.2058","1.2124","1.2141","1.2047","121.63K","-0.53%"
"02/09/2023","1.2122","1.2072","1.2195","1.2056","125.32K","0.42%"
"02/08/2023","1.2071","1.2046","1.2111","1.2036","134.63K","0.24%"
"02/07/2023","1.2042","1.2024","1.2097","1.1960","157.23K","0.22%"
"02/06/2023","1.2016","1.2042","1.2079","1.2004","127.57K","-0.29%"
"02/03/2023","1.2051","1.2225","1.2267","1.2047","138.09K","-1.41%"
"02/02/2023","1.2223","1.2378","1.2401","1.2221","151.53K","-1.24%"
"02/01/2023","1.2376","1.2319","1.2395","1.2272","144.05K","0.45%"
"01/31/2023","1.2320","1.2351","1.2372","1.2283","127.29K","-0.26%"
"01/30/2023","1.2352","1.2399","1.2419","1.2336","136.15K","-0.36%"
"01/27/2023","1.2397","1.2407","1.2421","1.2344","146.64K","-0.07%"
"01/26/2023","1.2406","1.2401","1.2432","1.2344","132.84K","0.05%"
"01/25/2023","1.2400","1.2334","1.2406","1.2282","97.74K","0.58%"
"01/24/2023","1.2328","1.2378","1.2415","1.2262","98.02K","-0.36%"
"01/23/2023","1.2373","1.2404","1.2450","1.2322","102.18K","-0.16%"
"01/20/2023","1.2393","1.2391","1.2406","1.2334","145.74K","0.03%"
"01/19/2023","1.2389","1.2351","1.2399","1.2312","170.84K","0.35%"
"01/18/2023","1.2346","1.2290","1.2437","1.2254","164.29K","0.47%"
"01/17/2023","1.2288","1.2201","1.2301","1.2169","163.72K","0.80%"
"01/16/2023","1.2191","1.2216","1.2291","1.2170","116.73K","-0.29%"
"01/13/2023","1.2226","1.2210","1.2250","1.2149","164.94K","0.21%"
"01/12/2023","1.2200","1.2146","1.2249","1.2087","132.68K","0.48%"
"01/11/2023","1.2142","1.2155","1.2180","1.2099","134.96K","-0.11%"
"01/10/2023","1.2155","1.2190","1.2199","1.2109","174.96K","-0.23%"
"01/09/2023","1.2183","1.2094","1.2212","1.2087","144.30K","0.75%"
"01/06/2023","1.2092","1.1914","1.2101","1.1840","164.88K","1.56%"
"01/05/2023","1.1906","1.2053","1.2079","1.1873","135.70K","-1.22%"
"01/04/2023","1.2053","1.1968","1.2089","1.1954","181.13K","0.73%"
"01/03/2023","1.1966","1.2046","1.2086","1.1899","159.17K","-0.66%"
"01/02/2023","1.2045","1.2098","1.2100","1.2034","18.45K","-0.43%"
"12/30/2022","1.2097","1.2064","1.2109","1.2010","138.54K","0.37%"
"12/29/2022","1.2052","1.2016","1.2080","1.2013","117.12K","0.32%"
"12/28/2022","1.2013","1.2027","1.2126","1.2001","106.83K","-0.07%"
"12/27/2022","1.2021","1.2063","1.2114","1.2001","117.68K","-0.32%"
"12/26/2022","1.2060","1.2044","1.2083","1.2044","5.53K","0.02%"
"12/23/2022","1.2058","1.2044","1.2092","1.2018","142.07K","0.12%"
"12/22/2022","1.2043","1.2078","1.2149","1.1992","143.60K","-0.33%"
"12/21/2022","1.2083","1.2183","1.2194","1.2054","137.91K","-0.80%"
"12/20/2022","1.2181","1.2156","1.2224","1.2084","167.11K","0.29%"
"12/19/2022","1.2146","1.2150","1.2243","1.2119","140.17K","0.05%"
"12/16/2022","1.2140","1.2178","1.2225","1.2119","128.31K","-0.30%"
"12/15/2022","1.2176","1.2426","1.2433","1.2155","146.24K","-1.97%"
"12/14/2022","1.2421","1.2359","1.2448","1.2341","169.32K","0.54%"
"12/13/2022","1.2354","1.2274","1.2445","1.2247","141.25K","0.68%"
"12/12/2022","1.2270","1.2249","1.2300","1.2210","126.39K","0.12%"
"12/09/2022","1.2255","1.2234","1.2324","1.2206","143.35K","0.18%"
"12/08/2022","1.2233","1.2202","1.2249","1.2154","172.92K","0.28%"
"12/07/2022","1.2199","1.2136","1.2236","1.2105","178.00K","0.51%"
"12/06/2022","1.2137","1.2185","1.2270","1.2126","154.38K","-0.42%"
"12/05/2022","1.2188","1.2266","1.2346","1.2161","163.69K","-0.81%"
"12/02/2022","1.2287","1.2254","1.2301","1.2134","147.27K","0.28%"
"12/01/2022","1.2253","1.2056","1.2312","1.2053","171.62K","1.63%"
"11/30/2022","1.2056","1.1951","1.2089","1.1899","189.45K","0.86%"
"11/29/2022","1.1953","1.1954","1.2066","1.1944","132.09K","-0.04%"
"11/28/2022","1.1958","1.2078","1.2119","1.1939","127.43K","-1.12%"
"11/25/2022","1.2093","1.2112","1.2129","1.2057","111.45K","-0.14%"
"11/24/2022","1.2110","1.2054","1.2155","1.2047","146.88K","0.48%"
"11/23/2022","1.2052","1.1885","1.2082","1.1871","129.90K","1.42%"
"11/22/2022","1.1883","1.1825","1.1904","1.1817","137.99K","0.52%"
"11/21/2022","1.1821","1.1889","1.1903","1.1777","144.30K","-0.53%"
"11/18/2022","1.1884","1.1863","1.1952","1.1856","158.53K","0.19%"
"11/17/2022","1.1862","1.1914","1.1959","1.1762","155.16K","-0.39%"
"11/16/2022","1.1908","1.1866","1.1944","1.1831","162.76K","0.42%"
"11/15/2022","1.1858","1.1751","1.2027","1.1739","172.88K","0.90%"
"11/14/2022","1.1752","1.1805","1.1830","1.1709","153.74K","-0.70%"
"11/11/2022","1.1835","1.1716","1.1856","1.1646","171.21K","1.04%"
"11/10/2022","1.1713","1.1358","1.1733","1.1351","165.38K","3.14%"
"11/09/2022","1.1356","1.1543","1.1568","1.1333","156.17K","-1.56%"
"11/08/2022","1.1536","1.1513","1.1601","1.1429","154.18K","0.22%"
"11/07/2022","1.1511","1.1304","1.1543","1.1289","151.65K","1.20%"
"11/04/2022","1.1375","1.1166","1.1383","1.1148","156.27K","1.88%"
"11/03/2022","1.1165","1.1396","1.1423","1.1150","140.15K","-1.97%"
"11/02/2022","1.1389","1.1486","1.1566","1.1387","130.04K","-0.82%"
"11/01/2022","1.1483","1.1471","1.1567","1.1436","131.13K","0.12%"
"10/31/2022","1.1469","1.1609","1.1615","1.1458","133.83K","-1.21%"
"10/28/2022","1.1610","1.1563","1.1624","1.1503","142.25K","0.40%"
"10/27/2022","1.1564","1.1618","1.1647","1.1549","171.63K","-0.54%"
"10/26/2022","1.1627","1.1476","1.1640","1.1430","156.26K","1.40%"
"10/25/2022","1.1467","1.1281","1.1501","1.1270","145.01K","1.70%"
"10/24/2022","1.1275","1.1358","1.1410","1.1257","165.55K","-0.24%"
"10/21/2022","1.1302","1.1243","1.1316","1.1059","152.16K","0.61%"
"10/20/2022","1.1233","1.1223","1.1337","1.1171","183.15K","0.17%"
"10/19/2022","1.1214","1.1320","1.1359","1.1184","163.91K","-0.92%"
"10/18/2022","1.1318","1.1355","1.1411","1.1255","180.90K","-0.31%"
"10/17/2022","1.1353","1.1177","1.1441","1.1177","159.95K","1.64%"
"10/14/2022","1.1170","1.1330","1.1366","1.1151","191.89K","-1.40%"
"10/13/2022","1.1329","1.1106","1.1381","1.1056","161.87K","2.04%"
"10/12/2022","1.1103","1.0968","1.1135","1.0924","179.56K","1.28%"
"10/11/2022","1.0963","1.1058","1.1181","1.0952","171.94K","-0.83%"
"10/10/2022","1.1055","1.1084","1.1113","1.1019","182.05K","-0.26%"
"10/07/2022","1.1084","1.1163","1.1227","1.1055","155.56K","-0.66%"
"10/06/2022","1.1158","1.1328","1.1385","1.1114","175.69K","-1.48%"
"10/05/2022","1.1326","1.1476","1.1496","1.1226","174.53K","-1.28%"
"10/04/2022","1.1473","1.1325","1.1490","1.1280","162.20K","1.33%"
"10/03/2022","1.1322","1.1161","1.1336","1.1085","171.98K","1.45%"
"09/30/2022","1.1160","1.1115","1.1236","1.1023","169.04K","0.40%"
"09/29/2022","1.1115","1.0886","1.1121","1.0761","170.97K","2.08%"
"09/28/2022","1.0888","1.0733","1.0917","1.0539","188.63K","1.46%"
"09/27/2022","1.0731","1.0690","1.0840","1.0653","185.77K","0.44%"
"09/26/2022","1.0684","1.0858","1.0933","1.0384","180.54K","-1.58%"
"09/23/2022","1.0856","1.1256","1.1275","1.0838","155.80K","-3.56%"
"09/22/2022","1.1257","1.1269","1.1366","1.1212","168.64K","-0.08%"
"09/21/2022","1.1266","1.1376","1.1386","1.1237","132.38K","-0.99%"
"09/20/2022","1.1379","1.1434","1.1462","1.1356","123.07K","-0.44%"
"09/19/2022","1.1429","1.1417","1.1444","1.1354","97.03K","0.15%"
"09/16/2022","1.1412","1.1467","1.1482","1.1350","131.07K","-0.44%"
"09/15/2022","1.1463","1.1545","1.1551","1.1460","120.85K","-0.62%"
"09/14/2022","1.1535","1.1493","1.1591","1.1479","141.98K","0.38%"
"09/13/2022","1.1491","1.1692","1.1740","1.1491","128.21K","-1.61%"
"09/12/2022","1.1679","1.1596","1.1712","1.1595","96.91K","0.79%"
"09/09/2022","1.1587","1.1504","1.1649","1.1496","136.04K","0.76%"
"09/08/2022","1.1500","1.1528","1.1563","1.1459","139.02K","-0.22%"
"09/07/2022","1.1525","1.1521","1.1541","1.1405","137.87K","0.08%"
"09/06/2022","1.1516","1.1517","1.1610","1.1493","163.56K","0.03%"
"09/05/2022","1.1513","1.1518","1.1523","1.1443","119.96K","0.05%"
"09/02/2022","1.1507","1.1544","1.1590","1.1495","123.34K","-0.30%"
"09/01/2022","1.1542","1.1623","1.1627","1.1499","142.43K","-0.69%"
"08/31/2022","1.1622","1.1649","1.1695","1.1598","131.39K","-0.28%"
"08/30/2022","1.1655","1.1710","1.1762","1.1621","142.39K","-0.44%"
"08/29/2022","1.1707","1.1749","1.1754","1.1647","99.48K","-0.34%"
"08/26/2022","1.1747","1.1832","1.1902","1.1732","97.49K","-0.69%"
"08/25/2022","1.1829","1.1802","1.1866","1.1783","131.81K","0.27%"
"08/24/2022","1.1797","1.1841","1.1842","1.1755","111.29K","-0.29%"
"08/23/2022","1.1831","1.1777","1.1878","1.1717","126.68K","0.56%"
"08/22/2022","1.1765","1.1824","1.1839","1.1741","134.76K","-0.52%"
"08/19/2022","1.1827","1.1930","1.1942","1.1791","138.39K","-0.86%"
"08/18/2022","1.1930","1.2048","1.2081","1.1922","137.83K","-0.97%"
"08/17/2022","1.2047","1.2095","1.2143","1.2027","122.72K","-0.38%"
"08/16/2022","1.2093","1.2056","1.2119","1.2007","122.45K","0.32%"
"08/15/2022","1.2054","1.2133","1.2149","1.2049","100.76K","-0.63%"
"08/12/2022","1.2130","1.2209","1.2217","1.2099","142.63K","-0.67%"
"08/11/2022","1.2212","1.2228","1.2251","1.2181","138.26K","-0.11%"
"08/10/2022","1.2225","1.2077","1.2278","1.2064","165.16K","1.20%"
"08/09/2022","1.2080","1.2081","1.2132","1.2062","142.53K","0.03%"
"08/08/2022","1.2076","1.2072","1.2139","1.2046","110.23K","0.04%"
"08/05/2022","1.2071","1.2160","1.2170","1.2003","130.49K","-0.71%"
"08/04/2022","1.2157","1.2144","1.2200","1.2065","134.41K","0.12%"
"08/03/2022","1.2143","1.2178","1.2209","1.2099","132.35K","-0.24%"
"08/02/2022","1.2172","1.2246","1.2280","1.2157","151.42K","-0.62%"
"08/01/2022","1.2248","1.2165","1.2294","1.2155","131.53K","0.67%"
"07/29/2022","1.2166","1.2173","1.2247","1.2062","130.22K","-0.02%"
"07/28/2022","1.2169","1.2148","1.2193","1.2102","147.99K","0.15%"
"07/27/2022","1.2151","1.2030","1.2188","1.2019","116.19K","1.05%"
"07/26/2022","1.2025","1.2043","1.2092","1.1963","123.95K","-0.14%"
"07/25/2022","1.2042","1.2004","1.2087","1.1959","127.09K","0.33%"
"07/22/2022","1.2002","1.1995","1.2065","1.1916","115.37K","0.08%"
"07/21/2022","1.1993","1.1967","1.2005","1.1889","139.13K","0.20%"
"07/20/2022","1.1969","1.1990","1.2039","1.1953","134.63K","-0.22%"
"07/19/2022","1.1995","1.1954","1.2047","1.1924","121.65K","0.34%"
"07/18/2022","1.1954","1.1877","1.2035","1.1861","116.17K","0.86%"
"07/15/2022","1.1852","1.1823","1.1876","1.1804","130.06K","0.25%"
"07/14/2022","1.1822","1.1891","1.1897","1.1759","143.91K","-0.56%"
"07/13/2022","1.1889","1.1887","1.1968","1.1826","137.09K","0.03%"
"07/12/2022","1.1885","1.1886","1.1918","1.1806","133.90K","-0.03%"
"07/11/2022","1.1889","1.2029","1.2041","1.1865","123.85K","-1.15%"
"07/08/2022","1.2027","1.2025","1.2057","1.1918","149.01K","0.05%"
"07/07/2022","1.2021","1.1924","1.2031","1.1908","149.14K","0.76%"
"07/06/2022","1.1930","1.1959","1.1991","1.1875","158.82K","-0.23%"
"07/05/2022","1.1957","1.2108","1.2127","1.1898","147.84K","-1.22%"
"07/04/2022","1.2105","1.2105","1.2167","1.2083","113.56K","0.09%"
"07/01/2022","1.2094","1.2177","1.2183","1.1975","114.76K","-0.67%"
"06/30/2022","1.2175","1.2127","1.2190","1.2091","128.65K","0.41%"
"06/29/2022","1.2125","1.2183","1.2214","1.2105","140.73K","-0.47%"
"06/28/2022","1.2182","1.2265","1.2292","1.2179","150.50K","-0.67%"
"06/27/2022","1.2264","1.2264","1.2334","1.2237","125.82K","0.02%"
"06/24/2022","1.2262","1.2260","1.2321","1.2240","114.14K","0.02%"
"06/23/2022","1.2260","1.2269","1.2296","1.2169","157.82K","-0.05%"
"06/22/2022","1.2266","1.2276","1.2316","1.2161","118.98K","-0.05%"
"06/21/2022","1.2272","1.2257","1.2326","1.2241","110.09K","0.18%"
"06/20/2022","1.2250","1.2225","1.2282","1.2198","108.97K","0.21%"
"06/17/2022","1.2224","1.2354","1.2371","1.2172","162.22K","-1.03%"
"06/16/2022","1.2351","1.2185","1.2408","1.2040","176.77K","1.42%"
"06/15/2022","1.2178","1.1995","1.2206","1.1985","141.57K","1.54%"
"06/14/2022","1.1993","1.2130","1.2208","1.1933","138.34K","-1.16%"
"06/13/2022","1.2134","1.2327","1.2328","1.2106","115.70K","-1.46%"
"06/10/2022","1.2314","1.2495","1.2519","1.2300","111.64K","-1.41%"
"06/09/2022","1.2490","1.2541","1.2559","1.2486","103.46K","-0.39%"
"06/08/2022","1.2539","1.2593","1.2599","1.2512","103.49K","-0.39%"
"06/07/2022","1.2588","1.2532","1.2601","1.2429","109.12K","0.46%"
"06/06/2022","1.2530","1.2495","1.2579","1.2476","99.49K","0.36%"
"06/03/2022","1.2485","1.2579","1.2591","1.2484","70.95K","-0.72%"
"06/02/2022","1.2576","1.2485","1.2588","1.2468","82.72K","0.75%"
"06/01/2022","1.2482","1.2604","1.2618","1.2458","99.79K","-0.94%"
"05/31/2022","1.2600","1.2654","1.2657","1.2559","113.26K","-0.40%"
"05/30/2022","1.2650","1.2617","1.2661","1.2613","84.78K","0.27%"
"05/27/2022","1.2616","1.2599","1.2667","1.2585","107.19K","0.17%"
"05/26/2022","1.2594","1.2566","1.2622","1.2550","119.11K","0.24%"
"05/25/2022","1.2564","1.2531","1.2592","1.2480","136.05K","0.28%"
"05/24/2022","1.2529","1.2589","1.2600","1.2471","123.59K","-0.47%"
"05/23/2022","1.2588","1.2479","1.2602","1.2476","107.58K","0.81%"
"05/20/2022","1.2487","1.2464","1.2501","1.2437","119.18K","0.22%"
"05/19/2022","1.2460","1.2338","1.2526","1.2336","136.46K","0.99%"
"05/18/2022","1.2338","1.2493","1.2502","1.2329","122.68K","-1.22%"
"05/17/2022","1.2490","1.2317","1.2500","1.2316","126.58K","1.40%"
"05/16/2022","1.2317","1.2236","1.2331","1.2217","119.22K","0.46%"
"05/13/2022","1.2261","1.2200","1.2267","1.2155","121.39K","0.51%"
"05/12/2022","1.2199","1.2261","1.2262","1.2165","155.65K","-0.42%"
"05/11/2022","1.2250","1.2325","1.2401","1.2236","131.09K","-0.58%"
"05/10/2022","1.2322","1.2332","1.2377","1.2291","136.81K","-0.07%"
"05/09/2022","1.2331","1.2339","1.2407","1.2260","105.27K","-0.05%"
"05/06/2022","1.2337","1.2364","1.2382","1.2275","136.80K","-0.22%"
"05/05/2022","1.2364","1.2623","1.2637","1.2324","133.72K","-2.04%"
"05/04/2022","1.2621","1.2501","1.2640","1.2451","107.59K","0.98%"
"05/03/2022","1.2498","1.2493","1.2569","1.2470","102.01K","0.06%"
"05/02/2022","1.2491","1.2587","1.2599","1.2472","73.31K","-0.64%"
"04/29/2022","1.2571","1.2457","1.2616","1.2449","122.65K","0.92%"
"04/28/2022","1.2456","1.2555","1.2572","1.2410","107.58K","-0.73%"
"04/27/2022","1.2548","1.2575","1.2603","1.2501","103.42K","-0.19%"
"04/26/2022","1.2572","1.2742","1.2774","1.2570","121.12K","-1.32%"
"04/25/2022","1.2740","1.2861","1.2862","1.2696","131.23K","-0.76%"
"04/22/2022","1.2837","1.3032","1.3037","1.2822","113.15K","-1.47%"
"04/21/2022","1.3028","1.3068","1.3091","1.3022","142.37K","-0.29%"
"04/20/2022","1.3066","1.2998","1.3072","1.2992","120.69K","0.54%"
"04/19/2022","1.2996","1.3017","1.3042","1.2979","102.18K","-0.09%"
"04/18/2022","1.3008","1.3060","1.3066","1.3004","74.66K","-0.38%"
"04/15/2022","1.3058","1.3067","1.3081","1.3047","129.16K","-0.05%"
"04/14/2022","1.3065","1.3116","1.3149","1.3032","114.53K","-0.38%"
"04/13/2022","1.3115","1.2998","1.3119","1.2972","113.52K","0.91%"
"04/12/2022","1.2997","1.3032","1.3054","1.2994","94.85K","-0.25%"
"04/11/2022","1.3029","1.3043","1.3058","1.2989","80.13K","-0.02%"
"04/08/2022","1.3031","1.3077","1.3087","1.2981","87.63K","-0.32%"
"04/07/2022","1.3073","1.3069","1.3108","1.3051","86.55K","0.04%"
"04/06/2022","1.3068","1.3083","1.3110","1.3044","98.26K","0.00%"
"04/05/2022","1.3068","1.3115","1.3168","1.3066","83.85K","-0.34%"
"04/04/2022","1.3113","1.3114","1.3139","1.3092","96.63K","0.01%"
"04/01/2022","1.3112","1.3136","1.3154","1.3085","143.63K","-0.16%"
"03/31/2022","1.3133","1.3132","1.3177","1.3105","100.51K","0.02%"
"03/30/2022","1.3131","1.3092","1.3184","1.3083","105.37K","0.36%"
"03/29/2022","1.3084","1.3086","1.3161","1.3050","119.86K","0.00%"
"03/28/2022","1.3084","1.3190","1.3191","1.3067","94.21K","-0.79%"
"03/25/2022","1.3188","1.3195","1.3226","1.3159","94.45K","0.04%"
"03/24/2022","1.3183","1.3205","1.3216","1.3156","91.10K","-0.15%"
"03/23/2022","1.3203","1.3264","1.3300","1.3174","93.65K","-0.45%"
"03/22/2022","1.3263","1.3170","1.3275","1.3119","106.87K","0.74%"
"03/21/2022","1.3165","1.3182","1.3211","1.3125","81.58K","-0.11%"
"03/18/2022","1.3180","1.3149","1.3198","1.3110","89.04K","0.26%"
"03/17/2022","1.3146","1.3150","1.3213","1.3087","115.76K","0.01%"
"03/16/2022","1.3145","1.3042","1.3164","1.3031","123.62K","0.82%"
"03/15/2022","1.3038","1.3002","1.3090","1.2999","123.63K","0.29%"
"03/14/2022","1.3000","1.3038","1.3081","1.3000","98.68K","-0.28%"
"03/11/2022","1.3036","1.3087","1.3127","1.3026","129.48K","-0.36%"
"03/10/2022","1.3083","1.3176","1.3196","1.3080","126.60K","-0.73%"
"03/09/2022","1.3179","1.3103","1.3191","1.3087","131.40K","0.58%"
"03/08/2022","1.3103","1.3104","1.3146","1.3081","135.84K","0.01%"
"03/07/2022","1.3102","1.3227","1.3252","1.3101","138.03K","-0.93%"
"03/04/2022","1.3225","1.3346","1.3356","1.3201","126.49K","-0.91%"
"03/03/2022","1.3346","1.3406","1.3420","1.3316","116.59K","-0.43%"
"03/02/2022","1.3403","1.3325","1.3409","1.3270","107.57K","0.62%"
"03/01/2022","1.3321","1.3421","1.3439","1.3300","122.86K","-0.73%"
"02/28/2022","1.3419","1.3407","1.3434","1.3312","119.07K","0.10%"
"02/25/2022","1.3405","1.3378","1.3441","1.3365","107.71K","0.22%"
"02/24/2022","1.3375","1.3544","1.3551","1.3271","145.03K","-1.23%"
"02/23/2022","1.3542","1.3584","1.3622","1.3534","97.69K","-0.29%"
"02/22/2022","1.3582","1.3604","1.3606","1.3537","108.83K","-0.12%"
"02/21/2022","1.3598","1.3595","1.3640","1.3585","77.45K","0.06%"
"02/18/2022","1.3590","1.3614","1.3644","1.3572","101.11K","-0.18%"
"02/17/2022","1.3614","1.3586","1.3640","1.3555","113.06K","0.23%"
"02/16/2022","1.3583","1.3536","1.3602","1.3527","103.84K","0.37%"
"02/15/2022","1.3533","1.3525","1.3569","1.3485","97.50K","0.05%"
"02/14/2022","1.3526","1.3558","1.3574","1.3493","101.67K","-0.25%"
"02/11/2022","1.3560","1.3554","1.3611","1.3513","116.81K","0.04%"
"02/10/2022","1.3555","1.3534","1.3645","1.3522","106.85K","0.17%"
"02/09/2022","1.3532","1.3542","1.3591","1.3526","86.54K","-0.07%"
"02/08/2022","1.3541","1.3537","1.3565","1.3506","111.51K","0.05%"
"02/07/2022","1.3534","1.3530","1.3553","1.3489","103.21K","0.04%"
"02/04/2022","1.3529","1.3598","1.3616","1.3504","111.26K","-0.49%"
"02/03/2022","1.3595","1.3577","1.3629","1.3537","100.83K","0.13%"
"02/02/2022","1.3577","1.3516","1.3589","1.3515","75.24K","0.42%"
"02/01/2022","1.3520","1.3447","1.3530","1.3433","80.32K","0.56%"
"01/31/2022","1.3445","1.3399","1.3462","1.3386","82.36K","0.31%"
"01/28/2022","1.3404","1.3381","1.3434","1.3363","97.41K","0.14%"
"01/27/2022","1.3385","1.3465","1.3470","1.3357","99.43K","-0.56%"
"01/26/2022","1.3461","1.3493","1.3526","1.3443","95.33K","-0.26%"
"01/25/2022","1.3496","1.3487","1.3520","1.3435","118.59K","0.08%"
"01/24/2022","1.3485","1.3556","1.3566","1.3439","116.43K","-0.51%"
"01/21/2022","1.3554","1.3600","1.3604","1.3544","91.67K","-0.30%"
"01/20/2022","1.3595","1.3612","1.3663","1.3585","96.41K","-0.08%"
"01/19/2022","1.3606","1.3595","1.3650","1.3586","117.66K","0.09%"
"01/18/2022","1.3594","1.3647","1.3663","1.3572","131.09K","-0.37%"
"01/17/2022","1.3645","1.3675","1.3692","1.3636","91.29K","-0.20%"
"01/14/2022","1.3673","1.3707","1.3744","1.3652","92.72K","-0.23%"
"01/13/2022","1.3705","1.3700","1.3750","1.3699","87.75K","0.03%"
"01/12/2022","1.3701","1.3635","1.3715","1.3621","73.33K","0.48%"
"01/11/2022","1.3635","1.3576","1.3637","1.3561","71.29K","0.44%"
"01/10/2022","1.3575","1.3589","1.3605","1.3532","70.46K","-0.07%"
"01/07/2022","1.3585","1.3532","1.3598","1.3527","62.01K","0.42%"
"01/06/2022","1.3528","1.3556","1.3561","1.3489","92.83K","-0.19%"
